"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"1",1,2023,"EX","FT","Information Security Officer",160000,"USD",160000,"US",100,"US","M"
"2",2,2023,"EX","FT","Information Security Officer",100000,"USD",100000,"US",100,"US","M"
"3",3,2023,"SE","FT","Security Engineer",247250,"USD",247250,"US",0,"US","M"
"4",4,2023,"SE","FT","Security Engineer",160000,"USD",160000,"US",0,"US","M"
"5",5,2023,"SE","FT","Security Engineer",224250,"USD",224250,"US",0,"US","M"
"6",6,2023,"SE","FT","Security Engineer",116000,"USD",116000,"US",0,"US","M"
"7",7,2023,"SE","FT","Security Architect",146000,"USD",146000,"US",100,"US","M"
"8",8,2023,"SE","FT","Security Architect",78900,"USD",78900,"US",100,"US","M"
"9",9,2023,"SE","FT","Security Engineer",384348,"USD",384348,"US",0,"US","M"
"10",10,2023,"SE","FT","Security Engineer",255652,"USD",255652,"US",0,"US","M"
"11",11,2023,"SE","FT","Security Engineer",165000,"USD",165000,"US",0,"US","M"
"12",12,2023,"SE","FT","Security Engineer",115000,"USD",115000,"US",0,"US","M"
"13",13,2023,"SE","FT","Security Engineer",185000,"USD",185000,"US",100,"US","M"
"14",14,2023,"SE","FT","Security Engineer",155000,"USD",155000,"US",100,"US","M"
"15",15,2023,"SE","FT","Security Engineer",181000,"USD",181000,"US",100,"US","M"
"16",16,2023,"SE","FT","Security Engineer",155000,"USD",155000,"US",100,"US","M"
"17",17,2023,"SE","FT","Application Security Engineer",50000,"USD",50000,"VN",50,"VN","L"
"18",18,2023,"SE","FT","Incident Response Analyst",143000,"USD",143000,"US",100,"US","M"
"19",19,2023,"SE","FT","Incident Response Analyst",114500,"USD",114500,"US",100,"US","M"
"20",20,2023,"SE","FT","Incident Response Analyst",97500,"USD",97500,"US",100,"US","M"
"21",21,2023,"SE","FT","Incident Response Analyst",78000,"USD",78000,"US",100,"US","M"
"22",22,2023,"SE","FT","Security Engineer",184800,"USD",184800,"US",0,"US","M"
"23",23,2023,"SE","FT","Security Engineer",161900,"USD",161900,"US",0,"US","M"
"24",24,2023,"SE","FT","Security Specialist",133000,"USD",133000,"US",0,"US","M"
"25",25,2023,"SE","FT","Security Specialist",58400,"USD",58400,"US",0,"US","M"
"26",26,2023,"MI","FT","Information System Security Officer",134550,"USD",134550,"US",0,"US","M"
"27",27,2023,"MI","FT","Information System Security Officer",99450,"USD",99450,"US",0,"US","M"
"28",28,2023,"SE","FT","Security Engineer",165759,"USD",165759,"US",0,"US","M"
"29",29,2023,"SE","FT","Security Engineer",120552,"USD",120552,"US",0,"US","M"
"30",30,2023,"MI","FT","Security Specialist",107000,"USD",107000,"US",0,"US","M"
"31",31,2023,"MI","FT","Security Specialist",57000,"USD",57000,"US",0,"US","M"
"32",32,2023,"SE","FT","Security Engineer",235000,"USD",235000,"US",100,"US","M"
"33",33,2023,"SE","FT","Security Engineer",160000,"USD",160000,"US",100,"US","M"
"34",34,2023,"SE","FT","Incident Response Analyst",234900,"USD",234900,"US",0,"US","M"
"35",35,2023,"SE","FT","Incident Response Analyst",97300,"USD",97300,"US",0,"US","M"
"36",36,2023,"SE","FT","SOC Engineer",269100,"USD",269100,"US",0,"US","M"
"37",37,2023,"SE","FT","SOC Engineer",131300,"USD",131300,"US",0,"US","M"
"38",38,2023,"SE","FT","Security Engineer",140000,"USD",140000,"US",0,"US","M"
"39",39,2023,"SE","FT","Security Engineer",105000,"USD",105000,"US",0,"US","M"
"40",40,2023,"SE","FT","Security Engineer",256000,"USD",256000,"US",0,"US","M"
"41",41,2023,"SE","FT","Security Engineer",160000,"USD",160000,"US",0,"US","M"
"42",42,2023,"SE","FT","Compliance Analyst",154170,"USD",154170,"US",0,"US","M"
"43",43,2023,"SE","FT","Compliance Analyst",104830,"USD",104830,"US",0,"US","M"
"44",44,2023,"SE","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"45",45,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"46",46,2023,"SE","FT","Security Engineer",185000,"USD",185000,"US",0,"US","M"
"47",47,2023,"SE","FT","Security Engineer",150000,"USD",150000,"US",0,"US","M"
"48",48,2023,"SE","FT","Cyber Security Manager",259000,"USD",259000,"US",0,"US","M"
"49",49,2023,"SE","FT","Cyber Security Manager",123000,"USD",123000,"US",0,"US","M"
"50",50,2023,"SE","FT","Security Analyst",166000,"USD",166000,"US",0,"US","M"
"51",51,2023,"SE","FT","Security Analyst",73000,"USD",73000,"US",0,"US","M"
"52",52,2023,"SE","FT","Security Software Engineer",128500,"USD",128500,"US",100,"US","M"
"53",53,2023,"SE","FT","Security Software Engineer",67500,"USD",67500,"US",100,"US","M"
"54",54,2023,"SE","FT","Information System Security Officer",166000,"USD",166000,"US",0,"US","M"
"55",55,2023,"SE","FT","Information System Security Officer",73100,"USD",73100,"US",0,"US","M"
"56",56,2023,"SE","FT","Security Engineer",154000,"USD",154000,"US",0,"US","M"
"57",57,2023,"SE","FT","Security Engineer",103000,"USD",103000,"US",0,"US","M"
"58",58,2023,"SE","FT","Security Software Engineer",185000,"USD",185000,"US",0,"US","M"
"59",59,2023,"SE","FT","Security Software Engineer",122000,"USD",122000,"US",0,"US","M"
"60",60,2023,"SE","FT","Security Consultant",170000,"USD",170000,"US",100,"US","M"
"61",61,2023,"SE","FT","Security Consultant",150000,"USD",150000,"US",100,"US","M"
"62",62,2023,"SE","FT","Threat Intelligence Analyst",225500,"USD",225500,"US",0,"US","M"
"63",63,2023,"SE","FT","Threat Intelligence Analyst",139400,"USD",139400,"US",0,"US","M"
"64",64,2023,"SE","FT","Security Architect",255000,"USD",255000,"US",0,"US","M"
"65",65,2023,"SE","FT","Security Architect",169000,"USD",169000,"US",0,"US","M"
"66",66,2023,"SE","FT","Security Engineer",185800,"USD",185800,"US",0,"US","M"
"67",67,2023,"SE","FT","Security Engineer",93400,"USD",93400,"US",0,"US","M"
"68",68,2023,"SE","FT","Network Security Engineer",60000,"EUR",64781,"SI",50,"SI","L"
"69",69,2023,"MI","FT","Security Engineer",128622,"USD",128622,"US",0,"US","M"
"70",70,2023,"MI","FT","Security Engineer",85782,"USD",85782,"US",0,"US","M"
"71",71,2023,"SE","FT","DevSecOps Engineer",135000,"USD",135000,"US",0,"US","M"
"72",72,2023,"SE","FT","DevSecOps Engineer",110000,"USD",110000,"US",0,"US","M"
"73",73,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"74",74,2023,"SE","FT","Security Engineer",111600,"USD",111600,"US",0,"US","L"
"75",75,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"76",76,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"77",77,2023,"MI","FT","Compliance Manager",183370,"USD",183370,"US",100,"US","M"
"78",78,2023,"MI","FT","Compliance Manager",87220,"USD",87220,"US",100,"US","M"
"79",79,2023,"MI","FT","Privacy Manager",185000,"USD",185000,"US",0,"US","M"
"80",80,2023,"MI","FT","Privacy Manager",94700,"USD",94700,"US",0,"US","M"
"81",81,2023,"EX","FT","Information Security Officer",362560,"USD",362560,"US",0,"US","M"
"82",82,2023,"EX","FT","Information Security Officer",186320,"USD",186320,"US",0,"US","M"
"83",83,2023,"MI","FT","Security Operations Analyst",150300,"USD",150300,"US",0,"US","L"
"84",84,2023,"MI","FT","Security Operations Analyst",59800,"USD",59800,"US",0,"US","L"
"85",85,2023,"SE","FT","Security Engineer",229500,"USD",229500,"US",0,"US","M"
"86",86,2023,"SE","FT","Security Engineer",183500,"USD",183500,"US",0,"US","M"
"87",87,2023,"SE","FT","Security Engineer",190000,"USD",190000,"US",100,"US","M"
"88",88,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",100,"US","M"
"89",89,2023,"SE","FT","Security Engineer",198000,"USD",198000,"US",100,"US","M"
"90",90,2023,"SE","FT","Security Engineer",149000,"USD",149000,"US",100,"US","M"
"91",91,2023,"MI","FT","Security Engineer",285000,"USD",285000,"AU",0,"AU","M"
"92",92,2023,"MI","FT","Security Engineer",230000,"USD",230000,"AU",0,"AU","M"
"93",93,2023,"SE","FT","Security Engineer",206000,"USD",206000,"US",100,"US","M"
"94",94,2023,"SE","FT","Security Engineer",175100,"USD",175100,"US",100,"US","M"
"95",95,2023,"SE","FT","Security Researcher",235400,"USD",235400,"US",0,"US","M"
"96",96,2023,"SE","FT","Security Researcher",145500,"USD",145500,"US",0,"US","M"
"97",97,2023,"SE","FT","Security Analyst",97000,"USD",97000,"US",0,"US","M"
"98",98,2023,"SE","FT","Security Analyst",65000,"USD",65000,"US",0,"US","M"
"99",99,2023,"SE","FT","Security Engineer",252500,"USD",252500,"CA",100,"CA","M"
"100",100,2023,"SE","FT","Security Engineer",252500,"USD",252500,"CA",100,"CA","M"
